Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),"	24h Low (USD)",Adj Close,Volume
USD,9/5/2015,235.018997,230.199005,236.143005,229.442993,235.018997,20671400
USD,9/6/2015,239.839996,234.869995,242.912003,234.681,239.839996,25473700
USD,9/7/2015,239.847,239.934006,242.106003,238.722,239.847,21192200
USD,9/8/2015,243.606995,239.845993,245.781006,239.677994,243.606995,26879200
USD,9/9/2015,238.167999,243.414993,244.416,237.820999,238.167999,23635700
USD,9/10/2015,238.477005,238.335999,241.292999,235.791,238.477005,21215500
USD,9/11/2015,240.106995,238.328995,241.169006,238.328995,240.106995,19224700
USD,9/12/2015,235.229004,239.854996,240.123993,234.753998,235.229004,17962600
USD,9/13/2015,230.511993,235.242004,235.934998,229.332001,230.511993,18478800
USD,9/14/2015,230.643997,230.608994,232.440002,227.960999,230.643997,20997800
USD,9/15/2015,230.304001,230.492004,259.182007,229.822006,230.304001,19177800
USD,9/16/2015,229.091003,230.25,231.214996,227.401993,229.091003,20144200
USD,9/17/2015,229.809998,229.076004,230.285004,228.925995,229.809998,18935400
USD,9/18/2015,232.975006,233.520996,234.352997,232.184998,232.975006,20242200
USD,9/19/2015,231.492996,232.858002,233.205002,231.089005,231.492996,12712600
USD,9/20/2015,231.212006,231.399002,232.365005,230.910004,231.212006,14444700
USD,9/21/2015,227.085007,231.216995,231.216995,226.520996,227.085007,19678800
USD,9/22/2015,230.617996,226.968994,232.386002,225.117004,230.617996,25009300
USD,9/23/2015,230.283005,230.936005,231.835007,229.591003,230.283005,17254100
USD,9/24/2015,234.529007,230.358002,235.649002,230.294998,234.529007,25097800
USD,9/25/2015,235.143997,234.362,237.427002,233.684006,235.143997,22363600
USD,9/26/2015,234.339996,235.076004,235.403,233.358002,234.339996,13724100
USD,9/27/2015,232.757004,234.139008,234.526001,232.475998,232.757004,14179900
USD,9/28/2015,239.141998,232.835999,239.339005,232.466995,239.141998,24713000
USD,9/29/2015,236.686996,239.016006,239.802002,235.927994,236.686996,22691300
USD,9/30/2015,236.059998,236.639999,237.733994,235.628998,236.059998,19743500
USD,10/1/2015,237.548996,236.003998,238.445007,235.615997,237.548996,20488800
USD,10/2/2015,237.292999,237.264008,238.541,236.602997,237.292999,19677900
USD,10/3/2015,238.729996,237.201996,239.315002,236.944,238.729996,16482700
USD,10/4/2015,238.259003,238.531006,238.968002,237.940002,238.259003,12999000
USD,10/5/2015,240.382996,238.147003,240.382996,237.035004,240.382996,23335900
USD,10/6/2015,246.063004,240.363998,246.934998,240.136002,246.063004,27535100
USD,10/7/2015,242.968994,246.169998,246.681,242.585007,242.968994,22999200
USD,10/8/2015,242.304001,243.074997,244.251007,242.179001,242.304001,18515300
USD,10/9/2015,243.931,242.498001,244.227997,242.121994,243.931,17353100
USD,10/10/2015,244.940994,243.740005,245.319,243.074005,244.940994,15912700
USD,10/11/2015,247.050003,244.742004,247.242996,244.151993,247.050003,16827300
USD,10/12/2015,245.307999,246.875,247.453995,245.179001,245.307999,17388300
USD,10/13/2015,249.507996,245.199997,250.235992,243.757004,249.507996,28198500
USD,10/14/2015,251.988998,249.492996,254.274994,248.903,251.988998,27462600
